timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1523694534.716221,0.699698,0.006736,0.515067,-0.121388,-0.316514,-0.043207,0.643955,-0.006736,-0.764998,-0.022968,-0.023263,0.012847,22.474701,-6.260656,18.331177,,,,,,,
,,,,,,,,,,,,,,,,25.304074,51.439126,15.613626,12.200000,175.078125,1523694533.994340,
1523694534.746190,0.691752,0.002914,0.515815,-0.107775,-0.155975,-0.059347,0.637867,-0.002914,-0.770106,-0.015873,-0.026246,-0.064489,22.250168,-6.484198,18.781921,,,,,,,
1523694534.776158,0.691408,0.000873,0.516680,-0.046228,0.066606,0.000142,0.637605,-0.000873,-0.770328,-0.043855,-0.039272,-0.043729,22.322769,-6.634680,18.632629,,,,,,,
1523694534.806126,0.692655,-0.000264,0.517279,-0.059270,-0.005494,-0.017908,0.638566,0.000264,-0.769532,-0.018326,-0.041676,0.007402,22.621414,-6.636236,18.407715,,,,,,,
1523694534.836094,0.689477,-0.002151,0.519123,-0.095447,-0.168256,0.021650,0.636116,0.002151,-0.771556,-0.036323,-0.037994,-0.032658,22.468277,-6.860708,18.258606,,,,,,,
1523694534.866063,0.683901,-0.005025,0.522080,-0.170880,-0.121132,-0.006146,0.631797,0.005025,-0.775083,-0.030128,-0.041249,-0.113558,22.919571,-6.637884,18.107910,,,,,,,
1523694534.896031,0.683735,-0.008929,0.523281,-0.104713,0.073378,-0.037193,0.631651,0.008929,-0.775167,-0.022231,-0.028399,-0.105555,22.167816,-6.859426,18.183411,,,,,,,
1523694534.925999,0.687248,-0.008953,0.522324,0.052088,0.098160,0.010842,0.634370,0.008953,-0.772943,-0.041597,-0.033642,-0.051947,22.016205,-7.158514,18.409546,,,,,,,
1523694534.955967,0.689438,-0.006171,0.519771,0.122463,0.088364,0.019426,0.636075,0.006171,-0.771568,-0.047680,-0.024589,0.012123,23.293213,-6.639791,17.883118,,,,,,,
1523694534.985936,0.692092,-0.003932,0.518100,0.047946,0.103653,-0.011553,0.638127,0.003932,-0.769886,-0.080556,-0.039652,0.007236,22.543686,-6.636343,17.957703,,,,,,,
1523694535.015904,0.692737,-0.006428,0.517863,-0.140012,-0.020619,-0.106386,0.638615,0.006428,-0.769464,-0.052586,-0.059682,-0.010717,22.168106,-6.784506,18.108093,,,,,,,
1523694535.045872,0.690882,-0.012898,0.517987,-0.167839,-0.086113,-0.151097,0.637147,0.012898,-0.770600,-0.016908,-0.064564,-0.082886,22.773804,-6.486776,18.557251,,,,,,,
,,,,,,,,,,,,,,,,25.303955,51.439146,15.586624,13.310000,175.781250,1523694534.994318,
1523694535.075810,0.688434,-0.017500,0.516984,-0.029163,-0.058068,-0.106281,0.635214,0.017499,-0.772103,-0.012137,-0.059521,-0.107292,23.367783,-6.864828,18.184021,,,,,,,
1523694535.105778,0.688426,-0.015992,0.513170,0.193043,0.039770,-0.045474,0.635224,0.015991,-0.772127,-0.038056,-0.062668,-0.057279,22.844284,-6.487844,17.807251,,,,,,,
1523694535.135746,0.690228,-0.010659,0.506967,0.227201,0.067093,-0.016693,0.636660,0.010658,-0.771036,-0.039736,-0.100517,0.013300,23.226913,-6.039038,18.330627,,,,,,,
1523694535.165715,0.691421,-0.009013,0.503931,-0.024895,0.056001,-0.008368,0.637589,0.009013,-0.770288,-0.040360,-0.099437,0.036600,22.327255,-6.184698,18.630798,,,,,,,
1523694535.195683,0.692823,-0.010334,0.504869,-0.137487,0.019670,0.057664,0.638661,0.010334,-0.769384,-0.074085,-0.075291,0.040655,22.697159,-6.786200,18.783386,,,,,,,
1523694535.225651,0.692564,-0.014547,0.509425,-0.279329,-0.012505,-0.001015,0.638427,0.014547,-0.769509,-0.029495,-0.014943,-0.018256,23.146820,-6.413900,18.107117,,,,,,,
1523694535.255619,0.691904,-0.019571,0.512921,-0.102138,-0.061588,-0.034930,0.637865,0.019570,-0.769865,-0.010835,0.002662,-0.128985,22.316467,-6.860312,17.958496,,,,,,,
1523694535.285588,0.690417,-0.018161,0.510783,0.166278,0.039715,-0.029503,0.636737,0.018160,-0.770833,-0.042178,-0.040820,-0.057643,22.096283,-6.559027,18.257202,,,,,,,
1523694535.315556,0.695112,-0.012979,0.506325,0.226580,0.202909,0.012998,0.640400,0.012978,-0.767897,-0.055713,-0.082162,0.064146,21.948685,-6.408209,18.406494,,,,,,,
1523694535.345524,0.697313,-0.010901,0.506588,-0.115325,-0.022992,0.071579,0.642104,0.010900,-0.766504,-0.018585,-0.044119,0.009836,22.095993,-6.858572,18.708374,,,,,,,
1523694535.375492,0.694437,-0.013505,0.512362,-0.170338,-0.113350,0.098256,0.639877,0.013505,-0.768323,-0.029587,0.024169,-0.116061,22.390717,-6.935659,17.958801,,,,,,,
1523694535.405461,0.692437,-0.012966,0.513615,0.055862,0.002413,0.024798,0.638344,0.012966,-0.769607,-0.063958,0.025700,-0.119370,22.097610,-6.334188,18.106262,,,,,,,
1523694535.435429,0.695940,-0.009619,0.508847,0.210829,0.172670,-0.063702,0.641060,0.009619,-0.767395,-0.068962,-0.056310,0.005554,21.345108,-6.630728,18.182129,,,,,,,
1523694535.465397,0.700213,-0.007005,0.502404,0.118738,0.112317,-0.062639,0.644347,0.007005,-0.764665,-0.078917,-0.072816,0.084855,21.653488,-6.331213,19.080994,,,,,,,
1523694535.495366,0.701669,-0.007237,0.499316,-0.011892,0.011786,-0.076482,0.645459,0.007237,-0.763725,-0.088040,-0.071934,0.076042,22.702698,-6.410940,19.081848,,,,,,,
1523694535.525334,0.699380,-0.008941,0.495539,0.089030,-0.109503,-0.088021,0.643700,0.008941,-0.765190,-0.037087,-0.045287,-0.099297,21.505142,-5.806143,18.478882,,,,,,,
